127.0.0.1 - - [16/Jan/2017:18:33:08 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:53 +0530] "GET /frontendPro/ HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:54 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:54 +0530] "GET /frontendPro/resources/images/chat8_img.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_job/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_job/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_friend/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/resources/images/intro-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:56 +0530] "GET /frontendPro/resources/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:38:57 +0530] "GET /frontendPro/resources/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:10 +0530] "GET /frontendPro/ HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:15 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 200 2182
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:15 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:15 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:15 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:39:15 +0530] "GET /frontendPro/_job/jobcontroller.js HTTP/1.1" 200 1981
